play,character,phoneme,zscore
1H4,MESSENGERS.1,AW,-2.403830688
1H4,MESSENGERS.1,AH,-7.883284186
1H4,MESSENGERS.1,AO,16.41549086
1H4,MESSENGERS.1,G,-2.959699135
1H4,MESSENGERS.1,K,-4.567236877
1H4,MESSENGERS.1,N,-9.660415957
1H4,MESSENGERS.1,M,1.520125406
1H4,MESSENGERS.1,S,-7.105967855
1H4,MESSENGERS.1,AA,7.067596911
1H4,MESSENGERS.1,IH,-6.798412743
1H4,MESSENGERS.1,UW,4.712822202
1H4,MESSENGERS.1,F,6.547576791
1H4,MESSENGERS.1,EH,3.362720916
1H4,MESSENGERS.1,EY,-4.180046093
1H4,MESSENGERS.1,D,0.070049302
1H4,MESSENGERS.1,ER,4.215629796
1H4,MESSENGERS.1,DH,-4.519834907
1H4,MESSENGERS.1,AY,2.451711941
1H4,MESSENGERS.1,AE,-4.833120105
1H4,MESSENGERS.1,HH,3.618380675
1H4,MESSENGERS.1,JH,-1.866040876
1H4,MESSENGERS.1,L,8.598298037
1H4,MESSENGERS.1,P,-4.07845846
1H4,MESSENGERS.1,B,-4.318964544
1H4,MESSENGERS.1,ZH,-0.671145379
1H4,MESSENGERS.1,Y,6.135690546
1H4,MESSENGERS.1,W,-4.504433954
1H4,MESSENGERS.1,V,-4.483707384
1H4,MESSENGERS.1,IY,1.913870873
1H4,MESSENGERS.1,OY,-1.034298694
1H4,MESSENGERS.2,OW,-3.540630393
1H4,MESSENGERS.2,SH,-2.469932999
1H4,MESSENGERS.2,TH,-2.553235737
1H4,MESSENGERS.2,NG,7.780250234
1H4,MESSENGERS.2,T,-8.470149897
1H4,MESSENGERS.2,CH,-2.297119978
1H4,MESSENGERS.2,R,8.860954328
1H4,MESSENGERS.2,Z,1.486170359
1H4,MESSENGERS.2,UH,-2.24003318
1H4,MESSENGERS.2,AW,-2.403830688
1H4,MESSENGERS.2,AH,2.711071342
1H4,MESSENGERS.2,AO,3.665759451
1H4,MESSENGERS.2,G,-2.959699135
1H4,MESSENGERS.2,K,9.703678019
1H4,MESSENGERS.2,N,-4.364645216
1H4,MESSENGERS.2,M,5.067681725
1H4,MESSENGERS.2,S,-1.524756617
1H4,MESSENGERS.2,AA,4.572621315
1H4,MESSENGERS.2,IH,-2.068740464
1H4,MESSENGERS.2,UW,-4.017990411
1H4,MESSENGERS.2,F,-4.727696949
1H4,MESSENGERS.2,EH,1.360163955
1H4,MESSENGERS.2,EY,5.083866685
1H4,MESSENGERS.2,D,-1.29331058
1H4,MESSENGERS.2,ER,-4.343268148
1H4,MESSENGERS.2,DH,0.3939153
1H4,MESSENGERS.2,AY,1.168440518
1H4,MESSENGERS.2,AE,-4.833120105
1H4,MESSENGERS.2,HH,-3.662268595
1H4,MESSENGERS.2,JH,-1.866040876
1H4,MESSENGERS.2,L,-0.566339952
1H4,MESSENGERS.2,P,23.97991267
1H4,MESSENGERS.2,B,-4.318964544
1H4,MESSENGERS.2,ZH,-0.671145379
1H4,MESSENGERS.2,Y,-2.050871653
1H4,MESSENGERS.2,W,-4.504433954
1H4,MESSENGERS.2,V,-4.483707384
1H4,MESSENGERS.2,IY,0.358716892
1H4,MESSENGERS.2,OY,-1.034298694
1H4,MESSENGERS.X,OW,-3.540630393
1H4,MESSENGERS.X,SH,-0.315791309
1H4,MESSENGERS.X,TH,0.084313549
1H4,MESSENGERS.X,NG,-2.114657608
1H4,MESSENGERS.X,T,-2.736855801
1H4,MESSENGERS.X,CH,3.066250539
1H4,MESSENGERS.X,R,3.955170052
1H4,MESSENGERS.X,Z,8.515769869
1H4,MESSENGERS.X,UH,-2.24003318
1H4,MESSENGERS.X,AW,-2.403830688
1H4,MESSENGERS.X,AH,-1.810086698
1H4,MESSENGERS.X,AO,3.924150187
1H4,MESSENGERS.X,G,-0.870472153
1H4,MESSENGERS.X,K,0.341230671
1H4,MESSENGERS.X,N,-4.195990022
1H4,MESSENGERS.X,M,3.675774329
1H4,MESSENGERS.X,S,-3.266663306
1H4,MESSENGERS.X,AA,3.348970977
1H4,MESSENGERS.X,IH,0.522035472
1H4,MESSENGERS.X,UW,-4.017990411
1H4,MESSENGERS.X,F,4.321248899
1H4,MESSENGERS.X,EH,1.583378994
1H4,MESSENGERS.X,EY,-2.586889055
1H4,MESSENGERS.X,D,2.141140519
1H4,MESSENGERS.X,ER,0.236014791
1H4,MESSENGERS.X,DH,-1.139675527
1H4,MESSENGERS.X,AY,3.628725157
1H4,MESSENGERS.X,AE,-2.540930108
1H4,MESSENGERS.X,HH,3.154644958
1H4,MESSENGERS.X,JH,-1.866040876
1H4,MESSENGERS.X,L,-1.383568776
1H4,MESSENGERS.X,P,-2.470016739
1H4,MESSENGERS.X,B,-1.369756714
1H4,MESSENGERS.X,ZH,-0.671145379
1H4,MESSENGERS.X,Y,-0.955853746
1H4,MESSENGERS.X,W,-3.336752378
1H4,MESSENGERS.X,V,-1.426177454
1H4,MESSENGERS.X,IY,0.532062152
1H4,MESSENGERS.X,OY,-1.034298694
1H4,MistressQuickly,OW,2.813370519
1H4,MistressQuickly,SH,-1.236750787
1H4,MistressQuickly,TH,3.108959464
1H4,MistressQuickly,NG,0.564273606
1H4,MistressQuickly,T,-2.843622457
1H4,MistressQuickly,CH,-1.145731037
1H4,MistressQuickly,R,-0.925516317
1H4,MistressQuickly,Z,-0.568118479
1H4,MistressQuickly,UH,1.569078017
1H4,MistressQuickly,AW,2.335948569
1H4,MistressQuickly,AH,-1.36442368
1H4,MistressQuickly,AO,1.942480123
1H4,MistressQuickly,G,-1.464673551
1H4,MistressQuickly,K,-0.527930447
1H4,MistressQuickly,N,1.418703276
1H4,MistressQuickly,M,0.879818872
1H4,MistressQuickly,S,0.311904589
1H4,MistressQuickly,AA,1.428315438
1H4,MistressQuickly,IH,-2.258444739
1H4,MistressQuickly,UW,0.828923787
1H4,MistressQuickly,F,-2.137570357
1H4,MistressQuickly,EH,-1.681093733
1H4,MistressQuickly,EY,-0.531905528
1H4,MistressQuickly,D,0.864203289
1H4,MistressQuickly,ER,-0.57485635
1H4,MistressQuickly,DH,-0.407872555
1H4,MistressQuickly,AY,2.204298996
1H4,MistressQuickly,AE,0.579749511
1H4,MistressQuickly,HH,2.052078666
1H4,MistressQuickly,JH,2.722681201
