speak,'S P IY K', s, IY
this,'DH IH S', s, IH
shoulder,'SH OW L D ǝ R', s, 
was,'W AA Z', s, AA
so,'S OW', s, 
thick,'TH IH K', s, IH
to,'T UW', s, UW
hve,'IY V', s, IY
and,'AH N D', s, 
hve,'IY V', s, IY
it,'IH T', s, IH
shall,'SH AE L', s, AE
or,'AO R', s, AO
break,'B R EY K', s, EY
my,'M AY', s, AY
back,'B AE K', s, AE
work,'W AO R K', s, AO
thou,'DH AW', s, 
the,'DH AH', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
shalt,'SH AE L T', s, AE
and,'AH N D', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
the,'DH AH', s, 
tree,'T R IY', s, IY
from,'F R AH M', s, 
thou,'DH AW', s, 
witness,'W IH T N AH S', s, IH
the,'DH AH', s, 
kiss,'K IH S', s, IH
i,'AY', s, AY
the,'DH AH', s, 
fruit,'F R UW T', s, UW
to,'T UW', s, UW
the,'DH AH', s, 
truth,'T R UW TH', s, UW
so,'S OW', s, 
judas,'JH UW D AH S', s, UW
his,'HH IH Z', s, IH
master,'M AW S T ǝ R', s, 
and,'AH N D', s, 
all,'AA L', s, AA
hail,'HH EY L', s, EY
he,'HH IY', s, IY
meant,'M EH N T', s, 
all,'AA L', s, AA
