filename,voiced,voiceless
1H4_Archbishop,0.6431372549020.356862745098
Rom_PrinceEscalus,0.6651785714290.334821428571
Rom_Romeo,0.6436371996780.356362800322
Rom_SERVANTS.CAPULET.0,0.50.5
Rom_SERVANTS.CAPULET.0.1,0.593750.40625
Rom_SERVANTS.CAPULET.0.2,0.7058823529410.294117647059
Rom_SERVANTS.CAPULET.0.3,0.7714285714290.228571428571
Rom_SERVANTS.CAPULET.Gregory,0.6571428571430.342857142857
Rom_SERVANTS.CAPULET.Peter,0.7105882352940.289411764706
Rom_SERVANTS.CAPULET.Sampson,0.701970443350.29802955665
Rom_SERVANTS.CAPULET.X.1,0.6177606177610.382239382239
Rom_SERVANTS.CAPULET.X.2,0.520.48
Rom_SERVANTS.MONTAGUE.Abram,0.5882352941180.411764705882
Rom_SERVANTS.MONTAGUE.Balthasar,0.6553287981860.344671201814
Rom_SERVANTS.PARIS.1,0.7042253521130.295774647887
Rom_Tybalt,0.6380368098160.361963190184
Rom_WATCHMEN.0.1,0.6666666666670.333333333333
Rom_WATCHMEN.0.2,0.7222222222220.277777777778
Rom_WATCHMEN.0.3,0.5777777777780.422222222222
Shr_Baptista,0.6583442838370.341655716163
Shr_Bianca,0.6273684210530.372631578947
Shr_Biondello,0.6199312714780.380068728522
Shr_Curtis,0.6137184115520.386281588448
Shr_Gremio,0.6347204707860.365279529214
Shr_Grumio,0.6118630573250.388136942675
Shr_HUNTSMEN.0.1,0.6056338028170.394366197183
Shr_HUNTSMEN.0.2,0.6785714285710.321428571429
Shr_HUNTSMEN.0.3,0.6557377049180.344262295082
Shr_Haberdasher,0.5294117647060.470588235294
Shr_Hortensio,0.6390364860080.360963513992
Shr_Hostess,0.6097560975610.390243902439
Shr_Katherine,0.652132093620.34786790638
Shr_Lord,0.6568352059930.343164794007
Shr_Lucentio,0.6211687780960.378831221904
Shr_Merchant,0.6370370370370.362962962963
Shr_Messenger,0.7028985507250.297101449275
Shr_PLAYERS,0.7142857142860.285714285714
Shr_PLAYERS.0.1,0.620.38
Shr_PLAYERS.0.2,0.6521739130430.347826086957
Shr_Page,0.705645161290.29435483871
Shr_Petruchio,0.6388685686420.361131431358
Shr_SERVANTS.BAPTISTA.1,0.660.34
Shr_SERVANTS.LORD,1.00.0
Shr_SERVANTS.LORD.0.1,0.6666666666670.333333333333
Shr_SERVANTS.LORD.0.2,0.6756756756760.324324324324
Shr_SERVANTS.LORD.0.3,0.7158469945360.284153005464
Shr_SERVANTS.PETRUCHIO.0.4,00
Shr_SERVANTS.PETRUCHIO.Joseph,0.40.6
Shr_SERVANTS.PETRUCHIO.Nathaniel,0.6097560975610.390243902439
Shr_SERVANTS.PETRUCHIO.Nicholas,0.40.6
Shr_SERVANTS.PETRUCHIO.Peter,0.4736842105260.526315789474
Shr_SERVANTS.PETRUCHIO.Phillip,0.40.6
Shr_Sly,0.6750572082380.324942791762
Shr_Tailor,0.6145833333330.385416666667
Shr_Tranio,0.6221845483170.377815451683
Shr_Vincentio,0.6758957654720.324104234528
Shr_Widow,0.6985294117650.301470588235
TGV_Antonio,0.6230158730160.376984126984
TGV_Duke,0.6401773533420.359822646658
TGV_Eglamour,0.6763005780350.323699421965
TGV_Host,0.6254416961130.374558303887
TGV_Julia,0.6333182435490.366681756451
TGV_Lance,0.6285624804260.371437519574
TGV_Lucetta,0.6380857427720.361914257228
TGV_OUTLAWS.1,0.6114864864860.388513513514
TGV_OUTLAWS.2,0.653061224490.34693877551
TGV_OUTLAWS.3,0.647382920110.35261707989
TGV_Pantino,0.6427378964940.357262103506
TGV_Proteus,0.6440624507180.355937549282
TGV_SERVANTS.1,0.7894736842110.210526315789
TGV_Speed,0.6156202143950.384379785605
TGV_Sylvia,0.6411709159580.358829084042
TGV_Thurio,0.6199701937410.380029806259
TGV_Valentine,0.6525279303160.347472069684
TNK_ATTENDANTS.1,0.8235294117650.176470588235
TNK_Arcite,0.6515715775360.348428422464
TNK_Boy,0.7436974789920.256302521008
TNK_Brother,0.6504854368930.349514563107
TNK_COUNTRYMEN.0.1,0.6594594594590.340540540541
TNK_COUNTRYMEN.0.2,0.688249400480.31175059952
TNK_COUNTRYMEN.0.3,0.6360424028270.363957597173
TNK_COUNTRYMEN.0.4,0.6724137931030.327586206897
TNK_COUNTRYMEN.0.5,0.3333333333330.666666666667
TNK_COUNTRYWOMEN.0.1,0.50.5
TNK_Daughter,0.6462395543180.353760445682
TNK_Doctor,0.5918367346940.408163265306
TNK_Emilia,0.6527832609550.347216739045
TNK_Epilogue,0.603508771930.39649122807
TNK_FRIENDS.1,0.6468401486990.353159851301
TNK_FRIENDS.2,0.7117437722420.288256227758
TNK_Herald,0.7142857142860.285714285714
TNK_Hippolyta,0.6320246343340.367975365666
TNK_Jailer,0.643399089530.35660091047
TNK_KNIGHTS.PALAMON,0.4285714285710.571428571429
TNK_KNIGHTS.PALAMON.0.1,0.6049382716050.395061728395
TNK_KNIGHTS.PALAMON.0.2,0.6041666666670.395833333333
TNK_KNIGHTS.PALAMON.0.3,0.5909090909090.409090909091
TNK_MESSENGERS.X.1,0.6486068111460.351393188854
TNK_MESSENGERS.X.2,0.7142857142860.285714285714
TNK_MESSENGERS.X.3,0.6666666666670.333333333333
TNK_OTHERS,0.80.2
TNK_Palamon,0.6524168399170.347583160083
TNK_Pirithous,0.6212211025490.378778897451
TNK_Prologue,0.6118546845120.388145315488
TNK_QUEENS.1,0.6750503018110.324949698189
TNK_QUEENS.2,0.660493827160.33950617284
TNK_QUEENS.3,0.6682242990650.331775700935
TNK_Schoolmaster,0.6948905109490.305109489051
TNK_Servant,0.6428571428570.357142857143
TNK_Taborer,0.7272727272730.272727272727
TNK_Theseus,0.6731376975170.326862302483
TNK_Valerius,0.5849056603770.415094339623
TNK_Woman,0.67968750.3203125
TNK_Wooer,0.6469719350070.353028064993
TN_ATTENDANTS.OLIVIA.1,0.7380952380950.261904761905
TN_ATTENDANTS.ORSINO.Curio,0.6231884057970.376811594203
TN_ATTENDANTS.ORSINO.Valentine,0.6550.345
TN_AndrewAguecheek,0.6401869158880.359813084112
TN_Antonio,0.6493168510080.350683148992
TN_Captain,0.6563876651980.343612334802
TN_Fabian,0.6507147296460.349285270354
TN_Feste,0.6739130434780.326086956522
TN_Malvolio,0.6436809815950.356319018405
TN_Maria,0.638025594150.36197440585
TN_OFFICERS.1,0.6404494382020.359550561798
TN_OFFICERS.2,0.50.5
TN_Olivia,0.6327359617680.367264038232
TN_Orsino,0.6411196267910.358880373209
TN_Priest,0.6589147286820.341085271318
TN_Sebastian,0.6688206785140.331179321486
TN_TobyBelch,0.6445012787720.355498721228
TN_Viola,0.6569453445670.343054655433
Tim_ATTENDANTS.TIMON.0.1,0.8181818181820.181818181818
Tim_Alcibiades,0.656781508940.34321849106
Tim_Apemantus,0.6529032258060.347096774194
Tim_BANDITS.1,0.6713615023470.328638497653
Tim_BANDITS.2,0.6458333333330.354166666667
Tim_BANDITS.3,0.5636363636360.436363636364
Tim_Cupid,0.6276595744680.372340425532
Tim_FRIENDS.0,0.7272727272730.272727272727
Tim_FRIENDS.0.1,0.6406779661020.359322033898
Tim_FRIENDS.0.2,0.6541095890410.345890410959
Tim_FRIENDS.0.3,0.638297872340.36170212766
Tim_FRIENDS.0.4,0.7027027027030.297297297297
Tim_FRIENDS.Lucius,0.6497005988020.350299401198
Tim_FRIENDS.Lucullus,0.6726190476190.327380952381
Tim_FRIENDS.Sempronius,0.6221079691520.377892030848
Tim_FRIENDS.Ventidius,0.6461538461540.353846153846
Tim_Flavius,0.6423258958760.357674104124
Tim_Fool,0.6568047337280.343195266272
Tim_Jeweler,0.7313432835820.268656716418
Tim_LADIES,0.5833333333330.416666666667
Tim_LADIES.0.1,0.5925925925930.407407407407
Tim_LORDS,0.7142857142860.285714285714
Tim_LORDS.0.1,0.6286919831220.371308016878
Tim_LORDS.0.2,0.6451612903230.354838709677
Tim_LORDS.0.3,0.7631578947370.236842105263
Tim_MESSENGERS.X.1,0.597938144330.40206185567
Tim_MESSENGERS.X.2,0.5652173913040.434782608696
Tim_MESSENGERS.X.3,0.5897435897440.410256410256
Tim_Merchant,0.6272727272730.372727272727
Tim_OldMan,0.6352657004830.364734299517
Tim_Painter,0.6250.375
Tim_Phrynia,0.750.25
Tim_Poet,0.620645161290.37935483871
Tim_SENATORS.0.1,0.6311111111110.368888888889
Tim_SENATORS.0.2,0.6326530612240.367346938776
Tim_SENATORS.0.3,0.50.5
Tim_SENATORS.1,0.6292875989450.370712401055
Tim_SENATORS.2,0.6671641791040.332835820896
Tim_SENATORS.3,0.6111111111110.388888888889
Tim_SENATORS.4,0.650.35
Tim_SENATORS.X,0.6320754716980.367924528302
Tim_SERVANTS.Caphis,0.6776556776560.322344322344
Tim_SERVANTS.Hortensius,0.635036496350.36496350365
Tim_SERVANTS.ISIDORE.1,0.6532258064520.346774193548
Tim_SERVANTS.LUCIUS.1,0.6428571428570.357142857143
Tim_SERVANTS.LUCULLUS.1,0.7894736842110.210526315789
Tim_SERVANTS.Page,0.7166666666670.283333333333
Tim_SERVANTS.Philotus,0.7321428571430.267857142857
Tim_SERVANTS.TIMON.0.1,0.63750.3625
Tim_SERVANTS.TIMON.0.2,0.6206896551720.379310344828
Tim_SERVANTS.TIMON.0.3,0.5952380952380.404761904762
Tim_SERVANTS.TIMON.1,0.7666666666670.233333333333
Tim_SERVANTS.TIMON.2,0.5869565217390.413043478261
Tim_SERVANTS.TIMON.3,0.7222222222220.277777777778
Tim_SERVANTS.TIMON.Flaminius,0.612149532710.38785046729
Tim_SERVANTS.TIMON.Lucilius,0.5645161290320.435483870968
Tim_SERVANTS.TIMON.Servilius,0.5775193798450.422480620155
Tim_SERVANTS.TIMON.X.1,0.7272727272730.272727272727
Tim_SERVANTS.TIMON.X.2,0.6601941747570.339805825243
Tim_SERVANTS.Titus,0.6645161290320.335483870968
Tim_SERVANTS.VARRO.1,0.6276150627620.372384937238
Tim_SERVANTS.VARRO.2,0.6543209876540.345679012346
Tim_SOLDIERS.1,0.6115702479340.388429752066
Tim_STRANGERS.1,0.6115879828330.388412017167
Tim_STRANGERS.2,0.7311827956990.268817204301
Tim_STRANGERS.3,0.80.2
Tim_Timandra,0.7444444444440.255555555556
Tim_Timon,0.6617803619690.338219638031
Tit_ATTENDANTS,0.6896551724140.310344827586
Tit_Aaron,0.662455214030.33754478597
Tit_Aemilius,0.7254098360660.274590163934
Tit_Bassianus,0.6803551609320.319644839068
Tit_Captain,0.6741573033710.325842696629
Tit_Chiron,0.6491712707180.350828729282
Tit_CountryFellow,0.6715328467150.328467153285
Tit_Demetrius,0.6380228136880.361977186312
Tit_GOTHS,0.6666666666670.333333333333
Tit_GOTHS.0,0.7424242424240.257575757576
Tit_GOTHS.0.1,0.6802721088440.319727891156
Tit_GOTHS.0.2,0.6581469648560.341853035144
Tit_Lavinia,0.6674285714290.332571428571
Tit_Lucius,0.6655653450810.334434654919
Tit_Marcus,0.6374690849130.362530915087
Tit_Martius,0.6320.368
Tit_Messenger,0.6936936936940.306306306306
Tit_Mutius,0.5660377358490.433962264151
Tit_Nurse,0.7411764705880.258823529412
Tit_Publius,0.6521739130430.347826086957
Tit_Quintus,0.6203473945410.379652605459
Tit_Saturninus,0.654847104750.34515289525
Tit_TRIBUNES,0.5909090909090.409090909091
Tit_TRIBUNES.0.1,0.6486486486490.351351351351
Tit_Tamora,0.6664010624170.333598937583
Tit_Titus,0.6735187424430.326481257557
Tit_YoungLucius,0.7085427135680.291457286432
Tmp_Adrian,0.6232876712330.376712328767
Tmp_Alonso,0.6467661691540.353233830846
Tmp_Antonio,0.645494028230.35450597177
Tmp_Ariel,0.6647564469910.335243553009
Tmp_Boatswain,0.6483333333330.351666666667
Tmp_Caliban,0.6501251042540.349874895746
Tmp_Ferdinand,0.6482758620690.351724137931
Tmp_Francisco,0.593750.40625
Tmp_Gonzalo,0.6549421193230.345057880677
Tmp_Miranda,0.6492704826040.350729517396
Tmp_Prospero,0.6454266286470.354573371353
Tmp_SAILORS,0.5555555555560.444444444444
Tmp_SPIRITS.Ceres,0.6538461538460.346153846154
Tmp_SPIRITS.Iris,0.6479591836730.352040816327
Tmp_SPIRITS.Juno,0.6829268292680.317073170732
Tmp_Sebastian,0.6451863354040.354813664596
Tmp_Shipmaster,0.70.3
Tmp_Stephano,0.6487226277370.351277372263
Tmp_Trinculo,0.6546099290780.345390070922
Tro_ATTENDANTS.GREEK,0.50.5
Tro_Achilles,0.6334012219960.366598778004
Tro_Aeneas,0.6424795771260.357520422874
Tro_Agamemnon,0.6331064134720.366893586528
Tro_Ajax,0.6093928980530.390607101947
Tro_Alexander,0.6126482213440.387351778656
Tro_Andromache,0.6326530612240.367346938776
Tro_Antenor,0.60.4
Tro_Bastard,0.6206896551720.379310344828
Tro_Boy,0.60.4
Tro_Calchas,0.6063829787230.393617021277
Tro_Cassandra,0.6145038167940.385496183206
Tro_Cressida,0.6557116353030.344288364697
Tro_Deiphobus,0.5862068965520.413793103448
Tro_Diomedes,0.6363636363640.363636363636
Tro_Hector,0.6647099447510.335290055249
Tro_Helen,0.6547231270360.345276872964
Tro_Helenus,0.6478873239440.352112676056
Tro_MYRMIDONS.0.1,0.6666666666670.333333333333
Tro_Menelaus,0.7243589743590.275641025641
Tro_Nestor,0.6448598130840.355140186916
Tro_Pandarus,0.6388888888890.361111111111
Tro_Paris,0.6266280752530.373371924747
Tro_Patroclus,0.656410256410.34358974359
Tro_Priam,0.6075085324230.392491467577
Tro_Prologue,0.6532438478750.346756152125
Tro_SERVANTS.DIOMEDES.1,1.00.0
Tro_SERVANTS.PARIS.1,0.6383928571430.361607142857
Tro_SERVANTS.TROILUS.1,0.4117647058820.588235294118
Tro_SOLDIERS,0.56250.4375
Tro_SOLDIERS.TROJAN,0.60.4
Tro_Thersites,0.6519364448860.348063555114
Tro_Troilus,0.6408146749390.359185325061
Tro_Ulysses,0.62358307990.3764169201
WT_ATTENDANTS,0.70.3
WT_ATTENDANTS.0.1,0.6541666666670.345833333333
WT_ATTENDANTS.1,0.6786570743410.321342925659
WT_ATTENDANTS.2,0.6192468619250.380753138075
WT_ATTENDANTS.3,0.631671041120.36832895888
WT_ATTENDANTS.X,0.6114457831330.388554216867
WT_Antigonus,0.6481481481480.351851851852
WT_Archidamus,0.6121212121210.387878787879
WT_Autolycus,0.6395240317310.360475968269
WT_Camillo,0.6277982779830.372201722017
WT_Chorus,0.6255144032920.374485596708
WT_Cleomenes,0.6231884057970.376811594203
WT_Dion,0.6323119777160.367688022284
WT_Dorcas,0.6548672566370.345132743363
WT_Florizell,0.6378662659650.362133734035
WT_Hermione,0.6402188782490.359781121751
WT_Jailer,0.638297872340.36170212766
WT_LADIES.0.1,0.7446808510640.255319148936
WT_LADIES.0.2,0.6153846153850.384615384615
WT_LADIES.Emilia,0.6712802768170.328719723183
WT_Leontes,0.6317078601650.368292139835
WT_Mamillius,0.7046413502110.295358649789
WT_Mopsa,0.6291666666670.370833333333
WT_OFFICERS.0.1,0.6347150259070.365284974093
WT_Paulina,0.6429852084270.357014791573
WT_Perdita,0.663307646710.33669235329
WT_Polixenes,0.633713225550.36628677445
WT_SERVANTS.0,0.517241379310.48275862069
WT_SERVANTS.SHEPHERD.1,0.6543209876540.345679012346
WT_SERVANTS.X.1,0.5978260869570.402173913043
WT_SERVANTS.X.2,0.6166666666670.383333333333
WT_SERVANTS.X.3,0.6411483253590.358851674641
WT_Sailor,0.6578947368420.342105263158
WT_Shepherd,0.6381687810260.361831218974
WT_ShepherdsSon,0.6663066954640.333693304536
Wiv_AnnePage,0.6163141993960.383685800604
Wiv_BOYS,0.6220472440940.377952755906
Wiv_Bardolph,0.6479750778820.352024922118
Wiv_DoctorCaius,0.658184902460.34181509754
Wiv_Falstaff,0.642629904560.35737009544
Wiv_Fenton,0.6194814295730.380518570427
Wiv_Host,0.6300919842310.369908015769
Wiv_HughEvans,0.6759708737860.324029126214
Wiv_John,0.6111111111110.388888888889
Wiv_MasterFord,0.6289729729730.371027027027
Wiv_MasterPage,0.6141809290950.385819070905
Wiv_MistressFord,0.6379974326060.362002567394
Wiv_MistressPage,0.6337572752750.366242724725
Wiv_MistressQuickly,0.6510818204430.348918179557
Wiv_Nym,0.6666666666670.333333333333
Wiv_Pistol,0.6481481481480.351851851852
Wiv_Robert,0.4615384615380.538461538462
Wiv_Robin,0.6376146788990.362385321101
Wiv_Rugby,0.4777777777780.522222222222
Wiv_Shallow,0.6184523809520.381547619048
Wiv_Simple,0.6201413427560.379858657244
Wiv_Slender,0.6580.342
Wiv_WilliamPage,0.5909090909090.409090909091

