character,A Midsummer Night's Dream,gender,numlines
THIEVES,The Two Noble Kinsmen,Male,1
SECOND MESSENGER,The Two Noble Kinsmen,Male,1
SECOND TRAVELLER,The Two Noble Kinsmen,Male,1
FERDINAND and MIRANDA,The Two Noble Kinsmen,Male,1
ALL,The Two Noble Kinsmen,Male,1
CLEOMENES and DION,The Two Noble Kinsmen,Male,1
MARINERS,The Two Noble Kinsmen,Male,1
FIDDLER,The Two Noble Kinsmen,Male,1
FRIAR JOHN,The Two Noble Kinsmen,Male,1
SECOND WATCHMAN,The Two Noble Kinsmen,Male,1
THIRD MUSICIAN,The Two Noble Kinsmen,Male,1
THIRD SERVINGMAN,The Two Noble Kinsmen,Male,1
WATCHMAN,The Two Noble Kinsmen,Male,1
PATRICIANS,The Two Noble Kinsmen,Male,1
NOBLE,The Two Noble Kinsmen,Male,1
OFFICER,The Two Noble Kinsmen,Male,1
SECOND ROMAN,The Two Noble Kinsmen,Male,1
THIRD ROMAN,The Two Noble Kinsmen,Male,1
A FOLLOWER,The Two Noble Kinsmen,Male,1
TRIBUNES,The Two Noble Kinsmen,Male,1
SENATORS,The Two Noble Kinsmen,Male,1
SECOND SOLDIER,The Two Noble Kinsmen,Male,1
GURNEY,The Two Noble Kinsmen,Male,1
PEMBROKE and BIGOT,The Two Noble Kinsmen,Male,1
PETER,The Two Noble Kinsmen,Male,1
AEDILES,The Two Noble Kinsmen,Male,1
GENTLEMEN,The Two Noble Kinsmen,Male,1
SENATORS,The Two Noble Kinsmen,Male,1
FIRST ROMAN,The Two Noble Kinsmen,Male,1
LIEUTENANT,The Two Noble Kinsmen,Male,1
BOTH CITIZENS,The Two Noble Kinsmen,Male,1
ALL ROMAN SOLDIERS,The Two Noble Kinsmen,Male,1
CONRADE and BORACHIO,The Two Noble Kinsmen,Male,1
MASTER,The Two Noble Kinsmen,Male,1
MATE,The Two Noble Kinsmen,Male,1
JOHN and ROBERT,The Two Noble Kinsmen,Male,1
ROBERT,The Two Noble Kinsmen,Male,1
ALL,The Two Noble Kinsmen,Male,1
ALL LORDS,The Two Noble Kinsmen,Male,1
ROSALIND,The Winter's Tale,Female,685
CLEOPATRA,The Winter's Tale,Female,678
INNOGEN,The Winter's Tale,Female,594
PORTIA,The Winter's Tale,Female,574
JULIET,The Winter's Tale,Female,542
HELENA,The Winter's Tale,Female,478
ISABELLA,The Winter's Tale,Female,424
DESDEMONA,The Winter's Tale,Female,391
EMILIA,The Winter's Tale,Female,374
VIOLA,The Winter's Tale,Female,335
PAULINA,The Winter's Tale,Female,332
MISTRESS PAGE,The Winter's Tale,Female,328
DAUGHTER,The Winter's Tale,Female,324
JULIA,The Winter's Tale,Female,322
QUEEN,The Winter's Tale,Female,316
OLIVIA,The Winter's Tale,Female,314
VOLUMNIA,The Winter's Tale,Female,311
CRESSIDA,The Winter's Tale,Female,301
COUNTESS,The Winter's Tale,Female,291
PRINCESS,The Winter's Tale,Female,288
CELIA,The Winter's Tale,Female,282
BEATRICE,The Winter's Tale,Female,279
QUEEN,The Winter's Tale,Female,279
NURSE,The Winter's Tale,Female,277
QUEEN ELIZABETH,The Winter's Tale,Female,272
CONSTANCE,The Winter's Tale,Female,264
ADRIANA,The Winter's Tale,Female,263
QUEEN KATHERINE,The Winter's Tale,Female,261
LADY,The Winter's Tale,Female,259
TAMORA,The Winter's Tale,Female,257
PUCELLE,The Winter's Tale,Female,254
EMILIA,The Winter's Tale,Female,243
MISTRESS QUICKLY,The Winter's Tale,Female,236
HELENA,Timon of Athens,Female,230
KATHERINA,Timon of Athens,Female,221
QUEEN MARGARET,Timon of Athens,Female,218
COUNTESS,Timon of Athens,Female,214
HERMIONE,Timon of Athens,Female,211
GONERILL,Timon of Athens,Female,199
MISTRESS FORD,Timon of Athens,Female,192
REGAN,Timon of Athens,Female,190
MARINA,Timon of Athens,Female,190
OPHELIA,Timon of Athens,Female,173
HOSTESS,Timon of Athens,Female,171
QUEEN,Timon of Athens,Female,168
ROSALINE,Timon of Athens,Female,165
HERMIA,Timon of Athens,Female,164
SILVIA,Timon of Athens,Female,158
QUEEN,Timon of Athens,Female,157
ANNE,Timon of Athens,Female,157
MIRANDA,Timon of Athens,Female,153
MARIA,Timon of Athens,Female,149
TITANIA,Timon of Athens,Female,141
DUCHESS OF YORK,Timon of Athens,Female,141
DIANA,Timon of Athens,Female,138
HERO,Timon of Athens,Female,132
PERDITA,Timon of Athens,Female,126
DUCHESS,Timon of Athens,Female,119
CORDELIA,Timon of Athens,Female,117
LADY CAPULET,Timon of Athens,Female,115
KATHERINE,Timon of Athens,Female,115
QUEEN ISABEL,Timon of Athens,Female,115
CHARMIAN,Timon of Athens,Female,109
BAWD,Timon of Athens,Female,104
HIPPOLYTA,Timon of Athens,Female,102
LUCIANA,Timon of Athens,Female,96
DUCHESS OF YORK,Timon of Athens,Female,93
PORTIA,Timon of Athens,Female,92
NERISSA,Timon of Athens,Female,88
DIONYZA,Timon of Athens,Female,88
JESSICA,Timon of Athens,Female,86
PHEBE,Timon of Athens,Female,86
THAISA,Timon of Athens,Female,80
DOLL,Timon of Athens,Female,78
LADY GREY,Timon of Athens,Female,73
ABBESS,Timon of Athens,Female,73
LUCETTA,Timon of Athens,Female,72
BIANCA,Timon of Athens,Female,69
MARIANA,Timon of Athens,Female,68
OLD LADY,Timon of Athens,Female,68
MARGARET,Timon of Athens,Female,68
WIDOW,Timon of Athens,Female,64
FIRST QUEEN,Timon of Athens,Female,63
KATHERINE,Timon of Athens,Female,61
FIRST WITCH,Timon of Athens,Female,61
LAVINIA,Timon of Athens,Female,59
ANNE,Timon of Athens,Female,58
DUCHESS OF GLOUCESTER,Timon of Athens,Female,58
LADY PERCY,Timon of Athens,Female,57
QUEEN ELEANOR,Timon of Athens,Female,55
HOSTESS,Timon of Athens,Female,49
URSULA,Timon of Athens,Female,47
LADY PERCY,Timon of Athens,Female,46
KATHARINE,Timon of Athens,Female,46
COUNTESS,Timon of Athens,Female,45
MISTRESS QUICKLY as Queen of Fairies,Timon of Athens,Female,44
BLANCHE,Timon of Athens,Female,42
WIFE,Titus Andronicus,Female,42
MARIA,Titus Andronicus,Female,42
HOSTESS,Titus Andronicus,Female,42
IRIS,Titus Andronicus,Female,41
VALERIA,Titus Andronicus,Female,40
HECAT,Titus Andronicus,Female,39
SECOND QUEEN,Titus Andronicus,Female,39
THIRD QUEEN,Titus Andronicus,Female,37
CASSANDRA,Titus Andronicus,Female,37
OCTAVIA,Titus Andronicus,Female,36
MISTRESS OVERDONE,Titus Andronicus,Female,36
VIRGILIA,Titus Andronicus,Female,36
BIANCA,Titus Andronicus,Female,35
HIPPOLYTA,Titus Andronicus,Female,35
COURTESAN,Titus Andronicus,Female,35
MARGARET,Titus Andronicus,Female,33
ANNE,Titus Andronicus,Female,28
ALICE,Titus Andronicus,Female,28
HELEN,Titus Andronicus,Female,28
CALPHURNIA,Titus Andronicus,Female,27
THIRD WITCH,Titus Andronicus,Female,27
SECOND WITCH,Titus Andronicus,Female,26
IRAS,Titus Andronicus,Female,26
QUEEN ISABEL,Titus Andronicus,Female,24
GENTLEWOMAN,Titus Andronicus,Female,24
CERES,Titus Andronicus,Female,24
MOPSA,Titus Andronicus,Female,21
EMILIA,Titus Andronicus,Female,20
AUDREY,Titus Andronicus,Female,20
MARIANA,Troilus and Cressida,Female,20
NURSE,Troilus and Cressida,Female,19
ALL WITCHES,Troilus and Cressida,Female,19
JAQUENETTA,Troilus and Cressida,Female,18
QUEEN,Troilus and Cressida,Female,17
ANDROMACHE,Troilus and Cressida,Female,15
LADY FAULCONBRIDGE,Troilus and Cressida,Female,15
WOMAN,Troilus and Cressida,Female,14
QUEEN'S LADY,Troilus and Cressida,Female,13
DORCAS,Troilus and Cressida,Female,13
MOTHER,Troilus and Cressida,Female,12
GENTLEWOMAN,Troilus and Cressida,Female,12
WIDOW,Troilus and Cressida,Female,11
LYCHORIDA,Troilus and Cressida,Female,11
DIANA,Troilus and Cressida,Female,10
JULIET,Troilus and Cressida,Female,10
FRANCISCA,Troilus and Cressida,Female,9
BONA,Troilus and Cressida,Female,9
FIRST LADY,Troilus and Cressida,Female,9
GHOST OF ANNE,Troilus and Cressida,Female,8
LUCE,Troilus and Cressida,Female,8
WOMAN,Troilus and Cressida,Female,8
WIFE,Troilus and Cressida,Female,8
JUNO,Troilus and Cressida,Female,7
PATIENCE,Troilus and Cressida,Female,6
LADY NORTHUMBERLAND,Troilus and Cressida,Female,5
GIRL,Troilus and Cressida,Female,5
SECOND LADY,Troilus and Cressida,Female,4
PHRYNIA and TIMANDRA,Troilus and Cressida,Female,4
TIMANDRA,Troilus and Cressida,Female,4
JOURDAIN,Troilus and Cressida,Female,4
HOSTESS,Twelfth Night,Female,4
HELENUS,Twelfth Night,Female,4
ALL QUEENS,Twelfth Night,Female,3
LADY MONTAGUE,Twelfth Night,Female,3
SECOND LADY,Twelfth Night,Female,3
FIRST LADY,Twelfth Night,Female,3
GENTLEWOMAN,Twelfth Night,Female,2
DAUGHTER,Twelfth Night,Female,2
ALL THE LADIES,Twelfth Night,Female,1
FIRST LADY,Twelfth Night,Female,1
PHRYNIA,Twelfth Night,Female,1
QUEEN ELIZABETH and DUCHESS OF YORK,Twelfth Night,Female,1
VIRGILIA and VALERIA,Twelfth Night,Female,1
MISTRESS FORD and MISTRESS PAGE,Twelfth Night,Female,1
FIRST LADY,Twelfth Night,Female,1
LADIES,Twelfth Night,Female,1
WIDOW and MARIANA,Twelfth Night,Female,1
NELL,Twelfth Night,Female,1
